YEAR,battery-technology,bioenergy-power,coal-subcritical,coal-supercritical,coal-ultrasupercritical,gas-CCGT,gas-CCGT-CCS,gas-OCGT,geo-power,hydropower,nuclear-power,oil-internal-combustion-engine,solar-pv,windoffshore-power,windonshore-power
2034,1.066,2.410762238864815,8.6086,3.188658758804149,0.724843854118334,8.297042937765308,0.0,0.373,4.739999999999999,12.013222110643756,0.0,2.8708225703574595,22.236450590616684,2.579094910321465,2.73894
2035,1.2,2.9049146866377784,8.3086,3.188658758804149,0.724843854118334,9.133439072285011,0.0,0.373,4.739999999999999,14.617861929248257,0.0,2.1484530599120526,22.236450590616684,3.4175410450761143,2.73894
2036,3.284897290592026,3.0599999999999996,8.3086,3.188658758804149,0.724843854118334,9.19843907228501,0.0,0.373,4.739999999999999,14.625634929248257,0.0,2.183470122584497,33.278678122546566,4.398523022739053,2.73894
2037,4.8373741370991254,3.0599999999999996,8.3086,3.188658758804149,0.724843854118334,9.26343907228501,0.0,0.373,4.739999999999999,15.491973445590599,0.0,2.497201972983098,43.312999385757685,5.546271936604692,2.73894
2038,6.2863927186322694,3.0599999999999996,8.3086,3.188658758804149,0.724843854118334,9.865196959742324,0.0,0.373,4.739999999999999,16.494982781531252,0.0,2.6981003729830983,50.46122134558507,6.88913816582749,3.216428132566106
2039,6.777839202327596,3.0599999999999996,8.3086,3.188658758804149,0.724843854118334,11.72221623625799,0.0,0.373,4.739999999999999,16.502755781531253,0.0,3.287811484364835,55.39183158401791,8.460291654018164,4.200485115102344
2040,7.495323641686609,3.0599999999999996,8.038599999999999,3.188658758804149,0.724843854118334,13.979656799415801,0.0,0.373,4.739999999999999,16.51052878153125,0.0,4.179143239361786,61.015408226030615,10.298541235201252,5.351831784669743
2041,8.100874491818212,3.0599999999999996,8.038599999999999,3.188658758804149,0.724843854118334,16.638205759334618,0.0,0.373,4.739999999999999,16.51052878153125,0.0,4.179143239361786,67.81066000496315,12.449293245185464,7.135223451451684
2042,8.667132394765966,3.0599999999999996,8.038599999999999,3.188658758804149,0.724843854118334,19.65816254150635,0.0,0.373,4.739999999999999,16.51052878153125,0.0,4.179143239361786,70.19751285999851,14.965673096866993,10.202034422124315
2043,9.512937595129378,3.0599999999999996,8.038599999999999,3.188658758804149,0.724843854118334,22.339589801432524,0.307716777011843,0.373,4.739999999999999,16.51052878153125,0.0,4.179143239361786,71.72651485756833,17.90983752333438,14.24638027388545
2044,9.512937595129378,3.0599999999999996,8.038599999999999,3.188658758804149,0.724843854118334,24.39874862113766,2.146382115777105,0.373,4.739999999999999,16.64999999999999,0.0,4.179143239361786,75.567716515935,21.354509902301224,17.232896205613745
2045,10.296981910951715,3.0600000000000005,8.038599999999999,3.188658758804149,0.724843854118334,25.667520591034844,4.313205323954914,0.373,4.74,16.65,0.1494018612080324,4.179143239361786,76.21808841832352,25.384776585692435,20.64728856056808
2046,13.014777178357162,3.0600000000000005,7.7386,3.188658758804149,0.724843854118334,26.545740977346423,4.945728325458337,0.373,4.74,16.65,0.7992822334496388,4.0891432393617855,76.89537982143702,30.10018860526015,24.196649019304655
2047,16.476582104063414,3.0600000000000005,6.9746,3.188658758804149,0.724843854118334,27.378830799154805,5.940732097658815,0.373,4.74,16.65,1.5791386801395666,4.076143239361786,76.98174746402884,36.01722066815437,26.802479352586445
2048,20.081791142744958,3.0600000000000005,6.9746,3.188658758804149,0.724843854118334,28.264639132340797,5.986139212717264,0.373,4.74,16.65,2.6469395735837455,4.076143239361786,77.27433770653211,42.94014818174062,29.86730084252614
2049,24.750013578104337,3.0600000000000005,6.6446,3.188658758804149,0.724843854118334,28.53196834361683,5.986139212717264,0.373,4.74,16.65,3.799660821633828,4.076143239361786,75.3133677065321,51.03997337263652,33.453141985755586
2050,30.260168806534423,3.0599999999999996,5.0066,3.188658758804149,0.724843854118334,29.355826457604252,6.445079671496867,0.373,4.74,16.65,4.8,4.076143239361786,72.83713871509522,60.51676884598472,34.56999999999999
