unit_id,plant_id,unit_name,plant_name,operating_status,primary_fuel,technology,capacity,capacity_rating,admin_0,admin_1,latitude,longitude,location_accuracy,secondary_fuel,tertiary_fuel,quaternary_fuel,quinary_fuel,start_date,retired_date,planned_retire_date,is_captive,captive_use,captive_sector,has_ccs,constructed_before,constructed_after,construction_date,river,operating_status_detail
TZPWR2403000054344U000,TZPWR2403000054344,Bin Qasim power station - 1-1,Bin Qasim power station,operating,natural-gas,steam-turbine,210,MW,PAK,PAK-SD,24.785291,67.360261,exact,fuel-oil,NA,NA,NA,01/01/1983,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U001,TZPWR2403000054344,Bin Qasim power station - 1-2,Bin Qasim power station,operating,natural-gas,steam-turbine,210,MW,PAK,PAK-SD,24.785291,67.360261,exact,fuel-oil,NA,NA,NA,01/01/1984,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U002,TZPWR2403000054344,Bin Qasim power station - 1-3,Bin Qasim power station,operating,natural-gas,steam-turbine,210,MW,PAK,PAK-SD,24.785291,67.360261,exact,fuel-oil,NA,NA,NA,01/01/1989,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U003,TZPWR2403000054344,Bin Qasim power station - 1-4,Bin Qasim power station,operating,natural-gas,steam-turbine,210,MW,PAK,PAK-SD,24.785291,67.360261,exact,fuel-oil,NA,NA,NA,01/01/1990,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U004,TZPWR2403000054344,Bin Qasim power station - 1-5,Bin Qasim power station,operating,natural-gas,steam-turbine,210,MW,PAK,PAK-SD,24.785291,67.360261,exact,fuel-oil,NA,NA,NA,01/01/1991,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U005,TZPWR2403000054344,Bin Qasim power station - 1-6,Bin Qasim power station,operating,natural-gas,steam-turbine,210,MW,PAK,PAK-SD,24.785291,67.360261,exact,fuel-oil,NA,NA,NA,01/01/1997,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U006,TZPWR2403000054344,Bin Qasim power station - 2-1,Bin Qasim power station,operating,natural-gas,combined-cycle,572,MW,PAK,PAK-SD,24.785291,67.360261,exact,fuel-oil,NA,NA,NA,01/01/2012,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U007,TZPWR2403000054344,Bin Qasim power station - 3-1,Bin Qasim power station,operating,liquified-natural-gas,combined-cycle,450,MW,PAK,PAK-SD,24.785291,67.360261,exact,NA,NA,NA,NA,01/01/2022,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U008,TZPWR2403000054344,Bin Qasim power station - 3-2,Bin Qasim power station,operating,liquified-natural-gas,combined-cycle,450,MW,PAK,PAK-SD,24.785291,67.360261,exact,NA,NA,NA,NA,01/01/2022,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054344U009,TZPWR2403000054344,Bin Qasim power station - Phase 1 Repower Project Unit 3,Bin Qasim power station,inactive,coal-unspecified,coal-unspecified,210,MW,PAK,PAK-SD,24.784864,67.360305,exact,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
